,aircraftReg,aircraftType,airlineId,airsenseMissionId,alt,altGps,bvr,destination,flightNumber,fusionalt,fusionlat,fusionlon,fusionspeed,gva,gvr,heading,ias,isoutlier,lat,lon,mach,magneticHeading,missionId,onGround,origin,posTime,qnh,speed,targetId,tas,amount_diff,big_diff,count
19173,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80194,12.26285,,,,,,False,41.80194,12.26285,,,-1,True,FCO,1546533301000,,0,AZA6BF,,0,False,0
19174,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80193,12.262857,,,,,,False,41.80192,12.26286,,,-1,True,FCO,1546533312000,,0,AZA6BF,,1.99999999992428E-05,False,1
19175,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801918,12.262855,,,,,,False,41.80191,12.26285,,,-1,True,FCO,1546533316000,,0,AZA6BF,,1.00000000031741E-05,False,2
19176,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801907,12.262851,,,,,,False,41.80191,12.26285,,,-1,True,FCO,1546533328000,,0,AZA6BF,,0,False,3
19177,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801907,12.26285,,,,,,False,41.80191,12.26285,,,-1,True,FCO,1546533342000,,0,AZA6BF,,0,False,4
19178,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801918,12.262857,,,,,,False,41.80192,12.26286,,,-1,True,FCO,1546533353000,,0,AZA6BF,,1.00000000031741E-05,False,5
19179,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80192,12.26286,,,,,,False,41.80192,12.26286,,,-1,True,FCO,1546533361000,,0,AZA6BF,,0,False,6
19180,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80192,12.262861,,,,,,False,41.80192,12.26286,,,-1,True,FCO,1546533366000,,0,AZA6BF,,0,False,7
19181,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80192,12.262861,,,,,,False,41.80192,12.26286,,,-1,True,FCO,1546533372000,,0,AZA6BF,,0,False,8
19182,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801914,12.262855,,,,,,False,41.80191,12.26285,,,-1,True,FCO,1546533381000,,0,AZA6BF,,1.00000000031741E-05,False,9
19183,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80191,12.26285,,,,,,False,41.80191,12.26285,,,-1,True,FCO,1546533391000,,0,AZA6BF,,0,False,10
19184,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80191,12.262849,,,,,,False,41.80191,12.26285,,,-1,True,FCO,1546533401000,,0,AZA6BF,,0,False,11
19185,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801918,12.262856,,,,,,False,41.80192,12.26286,,,-1,True,FCO,1546533406000,,0,AZA6BF,,1.00000000031741E-05,False,12
19186,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80192,12.262852,,,,,,False,41.80192,12.26285,,,-1,True,FCO,1546533423000,,0,AZA6BF,,0,False,13
19187,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80192,12.2628565,,,,,,False,41.80192,12.26286,,,-1,True,FCO,1546533429000,,0,AZA6BF,,0,False,14
19188,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801937,12.26286,,,,,,False,41.80194,12.26286,,,-1,True,FCO,1546533438000,,0,AZA6BF,,1.99999999992428E-05,False,15
19189,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80194,12.26286,,,,,,False,41.80194,12.26286,,,-1,True,FCO,1546533443000,,0,AZA6BF,,0,False,16
19190,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80193,12.262854,,,,,,False,41.80192,12.26285,,,-1,True,FCO,1546533453000,,0,AZA6BF,,1.99999999992428E-05,False,17
19191,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801937,12.26285,,,,,,False,41.80194,12.26285,,,-1,True,FCO,1546533463000,,0,AZA6BF,,1.99999999992428E-05,False,18
19192,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801933,12.2628565,,,,,,False,41.80193,12.26286,,,-1,True,FCO,1546533473000,,0,AZA6BF,,1.00000000031741E-05,False,19
19193,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801937,12.262854,,,,,,False,41.80194,12.26285,,,-1,True,FCO,1546533474000,,0,AZA6BF,,1.00000000031741E-05,False,20
19194,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80193,12.262853,,,,,,False,41.80192,12.26285,,,-1,True,FCO,1546533477000,,2,AZA6BF,,1.99999999992428E-05,False,21
19195,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80189,12.262834,,,,,,False,41.80186,12.26282,,,-1,True,FCO,1546533484000,,9,AZA6BF,,6.0000000004834E-05,False,22
19196,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801846,12.262814,,,,,,False,41.80182,12.2628,,,-1,True,FCO,1546533488000,,11,AZA6BF,,3.99999999984857E-05,False,23
19197,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801804,12.262804,,,,,,False,41.80177,12.2628,,,-1,True,FCO,1546533491000,,11,AZA6BF,,5.00000000016598E-05,False,24
19198,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801723,12.26276,,,,,,False,41.8017,12.26274,,,-1,True,FCO,1546533498000,,11,AZA6BF,,7.00000000009027E-05,False,25
19199,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801693,12.262738,,,,,,False,41.80166,12.26271,,,-1,True,FCO,1546533499000,,11,AZA6BF,,3.99999999984857E-05,False,26
19200,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80165,12.262705,,,,,,False,41.80164,12.26268,,,-1,True,FCO,1546533502000,,10,AZA6BF,,1.99999999992428E-05,False,27
19201,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80156,12.262622,,,,,,False,41.80156,12.2626,,,-1,True,FCO,1546533510000,,10,AZA6BF,,8.00000000040768E-05,False,28
19202,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801533,12.262584,,,,,,False,41.80154,12.26257,,,-1,True,FCO,1546533513000,,10,AZA6BF,,1.99999999921374E-05,False,29
19203,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801517,12.262552,,,,,,False,41.80154,12.26255,,,-1,True,FCO,1546533516000,,10,AZA6BF,,0,False,30
19204,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80132,12.262447,,,,,,False,41.80131,12.26246,,,-1,True,FCO,1546533533000,,11,AZA6BF,,0.000230000000002,False,31
19205,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801292,12.26246,,,,,,False,41.80129,12.26248,,,-1,True,FCO,1546533535000,,10,AZA6BF,,1.99999999992428E-05,False,32
19206,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80124,12.262468,,,,,,False,41.80126,12.26248,,,-1,True,FCO,1546533551000,,2,AZA6BF,,3.0000000002417E-05,False,33
19207,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801308,12.262373,,,,,,False,41.80134,12.26234,,,-1,True,FCO,1546533560000,,11,AZA6BF,,8.00000000040768E-05,False,34
19208,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80149,12.261951,,,,,,False,41.8015,12.26193,,,-1,True,FCO,1546533582000,,10,AZA6BF,,0.000159999999994,False,35
19209,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801525,12.261839,,,,,,False,41.80151,12.26187,,,-1,True,FCO,1546533592000,,0,AZA6BF,,1.00000000031741E-05,False,36
19210,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801525,12.261835,,,,,,False,41.80151,12.26187,,,-1,True,FCO,1546533595000,,0,AZA6BF,,0,False,37
19211,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801514,12.261854,,,,,,False,41.80151,12.26186,,,-1,True,FCO,1546533635000,,0,AZA6BF,,0,False,38
19212,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801506,12.261867,,,,,,False,41.80151,12.26186,,,-1,True,FCO,1546533637000,,0,AZA6BF,,0,False,39
19213,I-BIXL,A321,AZA,,0,,,FRA,None,,41.8015,12.2618885,,,,,,False,41.80151,12.26186,,,-1,True,FCO,1546533645000,,0,AZA6BF,,0,False,40
19214,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801502,12.261879,,,,,,False,41.80151,12.26186,,,-1,True,FCO,1546533646000,,0,AZA6BF,,0,False,41
19215,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801502,12.261879,,,,,,False,41.80151,12.26186,,,-1,True,FCO,1546533656000,,0,AZA6BF,,0,False,42
19216,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801506,12.26187,,,,,,False,41.80151,12.26186,,,-1,True,FCO,1546533660000,,0,AZA6BF,,0,False,43
19217,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801502,12.261865,,,,,,False,41.8015,12.26186,,,-1,True,FCO,1546533665000,,0,AZA6BF,,1.00000000031741E-05,False,44
19218,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801502,12.261863,,,,,,False,41.8015,12.26186,,,-1,True,FCO,1546533666000,,0,AZA6BF,,0,False,45
19219,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80155,12.26178,,,,,,False,41.80155,12.26178,,,-1,True,FCO,1546533719000,,9,AZA6BF,,5.00000000016598E-05,False,46
19220,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80161,12.261608,,,,,,False,41.80163,12.26154,,,-1,True,FCO,1546533727000,,14,AZA6BF,,7.99999999969714E-05,False,47
19221,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801647,12.26147,,,,,,False,41.80166,12.26141,,,-1,True,FCO,1546533732000,,16,AZA6BF,,3.0000000002417E-05,False,48
19222,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801697,12.261339,,,,,,False,41.80172,12.26128,,,-1,True,FCO,1546533736000,,17,AZA6BF,,6.0000000004834E-05,False,49
19223,I-BIXL,A321,AZA,,0,,,FRA,None,,41.801777,12.2611,,,,,,False,41.8018,12.26104,,,-1,True,FCO,1546533743000,,17,AZA6BF,,7.99999999969714E-05,False,50
19224,I-BIXL,A321,AZA,,0,,,FRA,None,,41.8019,12.260761,,,,,,False,41.80192,12.2607,,,-1,True,FCO,1546533751000,,18,AZA6BF,,0.000120000000003,False,51
19225,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80246,12.260547,,,,,,False,41.80246,12.26056,,,-1,True,FCO,1546533793000,,0,AZA6BF,,0.000539999999994,False,52
19226,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80252,12.260605,,,,,,False,41.8025,12.26057,,,-1,True,FCO,1546533801000,,2,AZA6BF,,4.00000000055911E-05,False,53
19227,I-BIXL,A321,AZA,,0,,,FRA,None,,41.802555,12.260621,,,,,,False,41.80256,12.2606,,,-1,True,FCO,1546533804000,,11,AZA6BF,,5.99999999977285E-05,False,54
19228,I-BIXL,A321,AZA,,0,,,FRA,None,,41.802574,12.26062,,,,,,False,41.80258,12.2606,,,-1,True,FCO,1546533805000,,12,AZA6BF,,1.99999999992428E-05,False,55
19229,I-BIXL,A321,AZA,,0,,,FRA,None,,41.802715,12.260713,,,,,,False,41.80275,12.26072,,,-1,True,FCO,1546533813000,,15,AZA6BF,,0.000170000000004,False,56
19230,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80332,12.261054,,,,,,False,41.80334,12.26106,,,-1,True,FCO,1546533836000,,21,AZA6BF,,0.000590000000003,False,57
19231,I-BIXL,A321,AZA,,0,,,FRA,None,,41.803516,12.261175,,,,,,False,41.80356,12.26121,,,-1,True,FCO,1546533840000,,25,AZA6BF,,0.000219999999992,False,58
19232,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80365,12.261252,,,,,,False,41.80368,12.26127,,,-1,True,FCO,1546533843000,,26,AZA6BF,,0.000120000000003,False,59
19233,I-BIXL,A321,AZA,,0,,,FRA,None,,41.803947,12.261437,,,,,,False,41.80397,12.26146,,,-1,True,FCO,1546533850000,,29,AZA6BF,,0.00029,False,60
19234,I-BIXL,A321,AZA,,0,,,FRA,None,,41.804028,12.261486,,,,,,False,41.80408,12.26152,,,-1,True,FCO,1546533851000,,29,AZA6BF,,0.000109999999999,False,61
19235,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80419,12.261579,,,,,,False,41.80425,12.2616,,,-1,True,FCO,1546533854000,,29,AZA6BF,,0.000170000000004,False,62
19236,I-BIXL,A321,AZA,,0,,,FRA,None,,41.804527,12.261741,,,,,,False,41.80458,12.26174,,,-1,True,FCO,1546533860000,,29,AZA6BF,,0.000329999999998,False,63
19237,I-BIXL,A321,AZA,,0,,,FRA,None,,41.805305,12.262379,,,,,,False,41.8053,12.26242,,,-1,True,FCO,1546533876000,,29,AZA6BF,,0.000720000000001,False,64
19238,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80534,12.262454,,,,,,False,41.80532,12.26249,,,-1,True,FCO,1546533877000,,29,AZA6BF,,1.99999999992428E-05,False,65
19239,I-BIXL,A321,AZA,,0,,,FRA,None,,41.805565,12.263011,,,,,,False,41.80546,12.26306,,,-1,True,FCO,1546533887000,,30,AZA6BF,,0.000139999999995,False,66
19240,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80559,12.263265,,,,,,False,41.80554,12.26335,,,-1,True,FCO,1546533890000,,31,AZA6BF,,8.00000000040768E-05,False,67
19241,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80564,12.263506,,,,,,False,41.80561,12.26358,,,-1,True,FCO,1546533893000,,31,AZA6BF,,6.99999999937972E-05,False,68
19242,I-BIXL,A321,AZA,,0,,,FRA,None,,41.805744,12.263943,,,,,,False,41.80574,12.26406,,,-1,True,FCO,1546533898000,,31,AZA6BF,,0.000130000000006,False,69
19243,I-BIXL,A321,AZA,,0,,,FRA,None,,41.805794,12.2641535,,,,,,False,41.8058,12.26425,,,-1,True,FCO,1546533900000,,31,AZA6BF,,5.99999999977285E-05,False,70
19244,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80588,12.264487,,,,,,False,41.80588,12.26452,,,-1,True,FCO,1546533904000,,32,AZA6BF,,8.00000000040768E-05,False,71
19245,I-BIXL,A321,AZA,,0,,,FRA,None,,41.806007,12.264982,,,,,,False,41.806,12.265,,,-1,True,FCO,1546533910000,,33,AZA6BF,,0.000120000000003,False,72
19246,I-BIXL,A321,AZA,,0,,,FRA,None,,41.806057,12.26517,,,,,,False,41.80606,12.26521,,,-1,True,FCO,1546533912000,,33,AZA6BF,,5.99999999906231E-05,False,73
19247,I-BIXL,A321,AZA,,0,,,FRA,None,,41.806126,12.265419,,,,,,False,41.80613,12.26542,,,-1,True,FCO,1546533915000,,33,AZA6BF,,7.00000000009027E-05,False,74
19248,I-BIXL,A321,AZA,,0,,,FRA,None,,41.80623,12.265809,,,,,,False,41.80622,12.26578,,,-1,True,FCO,1546533920000,,34,AZA6BF,,9.00000000072509E-05,False,75
19249,I-BIXL,A321,AZA,,0,,,FRA,None,,41.806316,12.266154,,,,,,False,41.80632,12.26618,,,-1,True,FCO,1546533924000,,34,AZA6BF,,9.99999999962142E-05,False,76
19250,I-BIXL,A321,AZA,,1175,1450,,FRA,None,,41.793106,12.20834,,,,,,False,41.79314,12.20843,0.24,,-1,False,FCO,1546534238000,,173,AZA6BF,,0.013179999999999,False,77
19251,I-BIXL,A321,AZA,,1200,1475,,FRA,None,,41.79301,12.207866,,,,,,False,41.79301,12.2078,0.24,,-1,False,FCO,1546534239000,,174,AZA6BF,,0.000130000000006,False,78
19252,I-BIXL,A321,AZA,,1275,1600,,FRA,None,,41.79235,12.204237,,,,,,False,41.79218,12.20264,0.272,,-1,False,FCO,1546534244000,,176,AZA6BF,,0.000829999999993,False,79
19253,I-BIXL,A321,AZA,,1325,1650,,FRA,None,,41.79207,12.2014475,,,,,,False,41.79214,12.20006,0.272,,-1,False,FCO,1546534247000,,176,AZA6BF,,3.99999999984857E-05,False,80
19254,I-BIXL,A321,AZA,,1825,2075,,FRA,None,,41.801575,12.17448,,,,,,False,41.80224,12.17394,0.312,,-1,False,FCO,1546534273000,,186,AZA6BF,,0.010100000000001,False,81
19255,I-BIXL,A321,AZA,,1875,2125,,FRA,None,,41.804043,12.170414,,,,,,False,41.80403,12.17098,0.332,,-1,False,FCO,1546534277000,,194,AZA6BF,,0.001789999999993,False,82
19256,I-BIXL,A321,AZA,,2150,2350,,FRA,None,,41.81187,12.157878,,,,,,False,41.81024,12.16091,0.332,,-1,False,FCO,1546534287000,,208,AZA6BF,,0.006210000000003,False,83
19257,I-BIXL,A321,AZA,,2225,2475,,FRA,None,,41.8132,12.155807,,,,,,False,41.81206,12.15798,0.34,,-1,False,FCO,1546534290000,,213,AZA6BF,,0.001819999999995,False,84
19258,I-BIXL,A321,AZA,,2375,2750,,FRA,None,,41.81385,12.154812,,,,,,False,41.81384,12.155,0.356,,-1,False,FCO,1546534291000,,214,AZA6BF,,0.001780000000004,False,85
19259,I-BIXL,A321,AZA,,2525,2950,,FRA,None,,41.815155,12.152725,,,,,,False,41.81516,12.15288,0.352,,-1,False,FCO,1546534293000,,212,AZA6BF,,0.00132,False,86
19260,I-BIXL,A321,AZA,,2975,3200,,FRA,None,,41.819885,12.144876,,,,,,False,41.81946,12.14551,0.352,,-1,False,FCO,1546534301000,,210,AZA6BF,,0.004300000000001,False,87
19261,I-BIXL,A321,AZA,,3175,3500,,FRA,None,,41.821186,12.1426525,,,,,,False,41.82129,12.14239,0.348,,-1,False,FCO,1546534303000,,210,AZA6BF,,0.001830000000005,False,88
19262,I-BIXL,A321,AZA,,3350,3600,,FRA,None,,41.823055,12.139468,,,,,,False,41.82307,12.13933,0.344,,-1,False,FCO,1546534306000,,210,AZA6BF,,0.001779999999997,False,89
19263,I-BIXL,A321,AZA,,3650,3875,,FRA,None,,41.82715,12.132396,,,,,,False,41.8265,12.13331,0.344,,-1,False,FCO,1546534314000,,212,AZA6BF,,0.003430000000002,False,90
19264,I-BIXL,A321,AZA,,3800,4025,,FRA,None,,41.82791,12.130994,,,,,,False,41.82822,12.13031,0.344,,-1,False,FCO,1546534315000,,213,AZA6BF,,0.001719999999999,False,91
19265,I-BIXL,A321,AZA,,3975,4225,,FRA,None,,41.830223,12.1269045,,,,,,False,41.83026,12.12668,0.348,,-1,False,FCO,1546534319000,,215,AZA6BF,,0.002039999999994,False,92
19267,I-BIXL,A321,AZA,,4375,4550,,FRA,None,,41.83696,12.115007,,,,,,False,41.83576,12.1169,0.348,,-1,False,FCO,1546534328000,,220,AZA6BF,,0.00188,False,93
19268,I-BIXL,A321,AZA,,4475,4700,,FRA,None,,41.838726,12.111833,,,,,,False,41.8374,12.11406,0.352,,-1,False,FCO,1546534332000,,220,AZA6BF,,0.001640000000002,False,94
19269,I-BIXL,A321,AZA,,4750,4925,,FRA,None,,41.841457,12.107552,,,,,,False,41.84184,12.10756,0.356,,-1,False,FCO,1546534336000,,219,AZA6BF,,0.004440000000002,False,95
19270,I-BIXL,A321,AZA,,4900,5050,,FRA,None,,41.84407,12.104048,,,,,,False,41.84418,12.105,0.356,,-1,False,FCO,1546534340000,,218,AZA6BF,,0.002339999999997,False,96
19271,I-BIXL,A321,AZA,,5050,5250,,FRA,None,,41.84714,12.100696,,,,,,False,41.84702,12.10253,0.356,,-1,False,FCO,1546534345000,,216,AZA6BF,,0.002839999999999,False,97
19272,I-BIXL,A321,AZA,,5275,5425,,FRA,None,,41.851,12.097888,,,,,,False,41.85173,12.09957,0.356,,-1,False,FCO,1546534350000,,211,AZA6BF,,0.004709999999996,False,98
19273,I-BIXL,A321,AZA,,5475,5650,,FRA,None,,41.85343,12.097065,,,,,,False,41.85507,12.09818,0.364,,-1,False,FCO,1546534352000,,209,AZA6BF,,0.003340000000001,False,99
19274,I-BIXL,A321,AZA,,5600,5825,,FRA,None,,41.85638,12.09581,,,,,,False,41.8575,12.09732,0.364,,-1,False,FCO,1546534355000,,207,AZA6BF,,0.002430000000004,False,100
19275,I-BIXL,A321,AZA,,5950,6025,,FRA,None,,41.861732,12.093825,,,,,,False,41.86345,12.09551,0.356,,-1,False,FCO,1546534360000,,206,AZA6BF,,0.005949999999999,False,101
19276,I-BIXL,A321,AZA,,6125,6225,,FRA,None,,41.86579,12.092887,,,,,,False,41.86638,12.09458,0.364,,-1,False,FCO,1546534364000,,205,AZA6BF,,0.002929999999999,False,102
19277,I-BIXL,A321,AZA,,6300,6450,,FRA,None,,41.868412,12.092507,,,,,,False,41.86815,12.09404,0.368,,-1,False,FCO,1546534367000,,205,AZA6BF,,0.001770000000001,False,103
19278,I-BIXL,A321,AZA,,6625,6725,,FRA,None,,41.8742,12.091012,,,,,,False,41.87448,12.09195,0.368,,-1,False,FCO,1546534373000,,205,AZA6BF,,0.006329999999998,False,104
19280,I-BIXL,A321,AZA,,6975,7100,,FRA,None,,41.88055,12.089397,,,,,,False,41.87998,12.08995,0.372,,-1,False,FCO,1546534378000,,204,AZA6BF,,0.002800000000001,False,105
19281,I-BIXL,A321,AZA,,7350,7400,,FRA,None,,41.887352,12.087269,,,,,,False,41.88533,12.0879,0.372,,-1,False,FCO,1546534387000,,201,AZA6BF,,0.00535,False,106
19282,I-BIXL,A321,AZA,,7550,7625,,FRA,None,,41.88835,12.086864,,,,,,False,41.88748,12.08702,0.376,,-1,False,FCO,1546534389000,,200,AZA6BF,,0.00215,False,107
19283,I-BIXL,A321,AZA,,7700,7800,,FRA,None,,41.890724,12.085969,,,,,,False,41.89074,12.08578,0.376,,-1,False,FCO,1546534392000,,200,AZA6BF,,0.003260000000004,False,108
